Date detected,Infected premises,Province,Premises type,Premises classification,PCZ,PCZ status
"November 16, 2024",BC-IP194,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP193,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP192,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP191,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP189,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 14, 2024",BC-IP187,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP188,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 12, 2024",AB-IP84,Alberta,commercial,poultry,PCZ-243,Revoked
"November 12, 2024",BC-IP186,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-242 Revoked
"November 12, 2024",BC-IP185,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 12, 2024",BC-IP184,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 11, 2024",BC-IP183,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 10, 2024",BC-IP182,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 9, 2024",BC-IP181,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 9, 2024",BC-IP180,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 8, 2024",BC-IP179,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 8, 2024",BC-IP178,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 8, 2024",BC-IP177,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 8, 2024",BC-IP176,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 7, 2024",BC-IP175,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 7, 2024",BC-IP174,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 3, 2024",BC-IP173,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 1, 2024",BC-IP171,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 1, 2024",BC-IP170,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"November 1, 2024",BC-IP169,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
