Date detected,Infected Premises (IP) location Question,Province,Premises type Question,WOAH premises classification Question,Primary control zone (PCZ) Question - Map,Status of order declaring PCZ
"October 24, 2025",BC-IP244  City of Chilliwack quarantine,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 23, 2025",SK-IP53 Footnote *  Rural municipality of Laird No. 404,Saskatchewan,commercial,poultry,PCZ-289,Revoked
"October 23, 2025",BC-IP241Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 21, 2025",MB-IP30Footnote *  Rural Municipality of Hanover,Manitoba,commercial,poultry,PCZ-288,Revoked
"October 16, 2025",AB-IP95Footnote *  Rocky View County,Alberta,non-commercial,poultry,PCZ-287,Revoked
"October 16, 2025",MB-IP29Footnote *  Rural Municipality of Hanover,Manitoba,commercial,poultry,PCZ-285,Revoked
"October 16, 2025",SK-IP52Footnote *  Rural Municipality of Bayne No. 371,Saskatchewan,commercial,poultry,PCZ-286,Revoked
"October 15, 2025",QC-IP63Footnote *  Charlevoix-Est Regional County Municipality,Quebec,commercial,poultry,PCZ-284,Revoked
"October 14, 2025",BC-IP240Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-FV5,Active
"October 12, 2025",QC-IP62Footnote *  Matawinie Regional County Municipality,Quebec,commercial,poultry,PCZ-283,Revoked
"October 10, 2025",MB-IP28Footnote *  Rural Municipality of Bifrost - Riverton,Manitoba,commercial,poultry,PCZ-282,Revoked
"October 10, 2025",SK-IP51  Rural municipality of Invergordon No. 430 quarantine,Saskatchewan,non-commercial,non-poultry,,
"October 8, 2025",ON-IP62Footnote *  Wellington County,Ontario,commercial,poultry,PCZ-280,Revoked
"October 9, 2025",MB-IP27Footnote *  Rural municipality of Ste. Rose,Manitoba,commercial,poultry,PCZ-281,Revoked
"October 7, 2025",QC-IP61Footnote *  D'Autray Regional County Municipality,Quebec,non-commercial,non-poultry,,
"October 6, 2025",AB-IP93Footnote *  Parkland County,Alberta,non-commercial,non-poultry,,
"October 7, 2025",AB-IP94Footnote *  County of Warner No. 5,Alberta,commercial,poultry,PCZ-279,Revoked
"October 2, 2025",AB-IP92Footnote *  County of Warner No. 5,Alberta,commercial,poultry,PCZ-278,Revoked
"October 1, 2025",SK-IP50Footnote *  Rural municipality of Humboldt No. 370,Saskatchewan,commercial,poultry,PCZ-277,Revoked
"September 15, 2025",QC-IP60 Footnote *  Brome-Missisquoi Regional County Municipality,Quebec,commercial,poultry,PCZ-276,Revoked
"September 15, 2025",AB-IP91Footnote *  Sturgeon County,Alberta,commercial,poultry,PCZ-275,Revoked
"September 10, 2025",AB-IP90Footnote *  Minburn County No. 27,Alberta,commercial,poultry,PCZ-274,Revoked
"September 9, 2025",AB-IP88  Strathcona CountyFootnote *,Alberta,commercial,poultry,PCZ-272,Revoked
"September 9, 2025",AB-IP89Footnote *  Beaver County,Alberta,commercial,poultry,PCZ-273,Revoked
"May 15, 2025",PE-IP01Footnote *  Kings County,Prince Edward Island,non-commercial,poultry,PCZ-271,Revoked
"May 12, 2025",AB-IP87  Leduc CountyFootnote *,Alberta,non-commercial,non-poultry,,
"May 6, 2025",MB-IP26Footnote *  Rural municipality Boissevain-Morton,Manitoba,non-commercial,poultry,PCZ-270,Revoked
"May 2, 2025",SK-IP49Footnote *  Rural Municipality of Lipton No. 217,Saskatchewan,non-commercial,non-poultry,,
"May 2, 2025",MB-IP25Footnote *  Rural Municipality of Wallace,Manitoba,commercial,poultry,PCZ-268,Revoked
"April 30, 2025",SK-IP48Footnote *  Rural municipality of Colonsay No. 342,Saskatchewan,non-commercial,poultry,PCZ-269,Revoked
"April 29, 2025",SK-IP47Footnote *  Rural municipality of Indian Head No. 156,Saskatchewan,non-commercial,poultry,PCZ-267,Revoked
"March 24, 2025",ON-IP61Footnote *  Township of St. Clair,Ontario,commercial,poultry,PCZ-266,Revoked
"March 21, 2025",NS-IP10Footnote *  Lunenburg County,Nova Scotia,non-commercial,poultry,PCZ-265,Revoked
"March 13, 2025",NL-IP04Footnote *  Conception Bay South,Newfoundland and Labrador,non-commercial,non-poultry,,
"March 13, 2025",ON-IP60Footnote *  Township of Enniskillen,Ontario,commercial,poultry,PCZ-264,Revoked
"March 4, 2025",NS-IP09Footnote *  Shelburne County,Nova Scotia,Non-commercial,poultry,PCZ-263,Revoked
"February 28, 2025",ON-IP59Footnote *  Municipality of Middlesex Centre,Ontario,commercial,poultry,PCZ-262,Revoked
"February 21, 2025",ON-IP58Footnote *  Township of Guelph/Eramosa,Ontario,non-commercial,non-poultry,,
"February 12, 2025",NL-IP03Footnote *  Gander Bay,Newfoundland and Labrador,non-commercial,poultry,PCZ-261,Revoked
"January 30, 2025",QC-IP59Footnote *  Matawinie Regional County Municipality,Quebec,commercial,poultry,PCZ-260,Revoked
"January 11, 2025",BC-IP239Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked
"January 11, 2025",BC-IP238Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked
"January 10, 2025",ON-IP57Footnote *  Township of Puslinch,Ontario,commercial,poultry,PCZ-259,Revoked
"January 5, 2025",BC-IP237Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked
"January 4, 2025",BC-IP236Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked
"January 3, 2025",ON-IP56Footnote *  Municipality of North Middlesex,Ontario,commercial,poultry,PCZ-258,Revoked
"January 1, 2025",BC-IP235Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked
"December 31, 2024",BC-IP234Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked
"December 31, 2024",BC-IP233  Regional District of Central Kootenay quarantine,British Columbia,non-commercial,poultry,PCZ-257,Revoked
"December 27, 2024",ON-IP55Footnote *  Township of Zorra,Ontario,commercial,poultry,PCZ-256,Revoked
"December 23, 2024",BC-IP232Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked
"December 20, 2024",ON-IP54Footnote *  Municipality of Strathroy-Caradoc,Ontario,commercial,poultry,PCZ-255,Revoked
"December 20, 2024",ON-IP53Footnote *  Township of Zorra,Ontario,commercial,poultry,PCZ-254,Revoked
"December 20, 2024",ON-IP52Footnote *  Township of Zorra,Ontario,commercial,poultry,PCZ-254,Revoked
"December 19, 2024",ON-IP51Footnote *  Township of Zorra,Ontario,commercial,poultry,PCZ-253,Revoked
"December 17, 2024",BC-IP231Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked
"December 14, 2024",ON-IP50Footnote *  Municipality of Strathroy-Caradoc,Ontario,commercial,poultry,PCZ-252,Revoked
"December 12, 2024",SK-IP46Footnote *  Rural Municipality of Round Hill No. 467,Saskatchewan,non-commercial,non-poultry,,
"December 13, 2024",BC-IP230Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"December 10, 2024",BC-IP229Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"December 10, 2024",BC-IP228Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"December 9, 2024",BC-IP227Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"December 8, 2024",BC-IP226Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"December 8, 2024",BC-IP225Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"December 6, 2024",BC-IP224Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"December 4, 2024",BC-IP223Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"December 4, 2024",BC-IP222Footnote *  Fraser Valley Regional District,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-242 Revoked
"December 4, 2024",BC-IP221Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"December 3, 2024",BC-IP220Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 26, 2024",QC-IP58Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,N/A - LPAI,PCZ-251,Revoked
"December 1, 2024",BC-IP219Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 30, 2024",BC-IP218Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 30, 2024",BC-IP217Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 29, 2024",BC-IP216Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 29, 2024",BC-IP215Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 28, 2024",BC-IP214Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"November 27, 2024",BC-IP213Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 26, 2024",MB-IP24Footnote *  Rural Municipality of Portage la Prairie,Manitoba,commercial,poultry,PCZ-250,Revoked
"November 24, 2024",BC-IP212Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 23, 2024",BC-IP211Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
